region,county,scenario,scenario_label,return_period,n_buildings,val_struct,val_cont,n_buildings_flooded,val_struct_flooded,val_cont_flooded,structure_damage,contents_damage,total_damage
USA_FL_W2_06,Charlotte,S1,Baseline,RP010,93987," $25,493,094,867.20 "," $12,746,547,435.41 ",2206," $634,743,139.40 "," $317,371,569.69 "," $310,967,863.27 "," $176,151,747.51 "," $487,119,610.80 "
USA_FL_W2_06,Collier,S1,Baseline,RP010,124567," $57,383,165,973.52 "," $28,691,582,975.51 ",8810," $4,083,333,318.50 "," $2,041,666,657.77 "," $1,828,474,418.71 "," $1,099,044,015.35 "," $2,927,518,434.10 "
USA_FL_W2_06,Hillsborough,S1,Baseline,RP010,404640," $123,800,786,742.92 "," $61,900,393,354.42 ",82," $26,589,423.76 "," $13,294,711.86 "," $11,024,471.94 "," $7,820,138.37 "," $18,844,610.30 "
USA_FL_W2_06,Lee,S1,Baseline,RP010,305926," $85,366,232,085.53 "," $42,683,116,042.26 ",10767," $2,935,253,507.54 "," $1,467,626,754.42 "," $1,361,202,832.46 "," $781,596,647.44 "," $2,142,799,479.90 "
USA_FL_W2_06,Manatee,S1,Baseline,RP010,144324," $47,761,541,301.18 "," $23,880,770,641.38 ",11893," $3,856,592,834.31 "," $1,928,296,416.77 "," $1,730,588,893.25 "," $1,000,725,177.19 "," $2,731,314,070.40 "
USA_FL_08,Miami-Dade,S1,Baseline,RP010,463365," $176,836,256,749.05 "," $88,418,128,367.06 ",5268," $7,609,461,168.71 "," $3,804,730,584.81 "," $1,957,329,147.89 "," $1,237,346,936.69 "," $3,194,676,084.60 "
USA_FL_W2_06,Pinellas,S1,Baseline,RP010,304706," $83,404,057,754.64 "," $41,702,028,895.88 ",21831," $9,481,538,957.14 "," $4,740,769,479.21 "," $5,118,023,426.32 "," $3,007,403,941.26 "," $8,125,427,367.60 "
USA_FL_W2_06,Charlotte,S1,Baseline,RP025,93987," $25,493,094,867.20 "," $12,746,547,435.41 ",4832," $1,177,215,910.79 "," $588,607,955.38 "," $601,090,597.72 "," $334,893,479.01 "," $935,984,076.70 "
USA_FL_W2_06,Collier,S1,Baseline,RP025,124567," $57,383,165,973.52 "," $28,691,582,975.51 ",12282," $6,089,842,635.35 "," $3,044,921,315.87 "," $3,537,990,004.01 "," $2,138,216,591.25 "," $5,676,206,595.30 "
USA_FL_W2_06,Hillsborough,S1,Baseline,RP025,404640," $123,800,786,742.92 "," $61,900,393,354.42 ",280," $93,814,971.78 "," $46,907,485.83 "," $29,248,497.01 "," $18,001,306.08 "," $47,249,803.10 "
