region,county,scenario,scenario_label,return_period,n_buildings,val_struct,val_cont,n_buildings_flooded,val_struct_flooded,val_cont_flooded,structure_damage,contents_damage,total_damage
Florida_PNAS_2C,Charlotte,S1,Baseline,RP010,93987," $25,493,094,867.20 "," $12,746,547,435.41 ",39631," $11,050,978,749.82 "," $5,525,489,374.63 "," $6,173,125,750.63 "," $3,345,145,221.93 "," $9,518,270,972.60 "
Florida_PNAS_2C+3B,Collier,S1,Baseline,RP010,124567," $57,383,165,973.52 "," $28,691,582,975.51 ",27917," $14,673,161,071.03 "," $7,336,580,533.01 "," $6,834,222,622.94 "," $4,514,543,143.09 "," $11,348,765,766.00 "
Florida_PNAS_1B,Hillsborough,S1,Baseline,RP010,404640," $123,800,786,742.92 "," $61,900,393,354.42 ",29837," $11,104,348,670.19 "," $5,552,174,333.23 "," $4,963,065,863.79 "," $3,034,492,201.47 "," $7,997,558,065.30 "
Florida_PNAS_2C,Lee,S1,Baseline,RP010,305926," $85,366,232,085.53 "," $42,683,116,042.26 ",77597," $22,977,851,738.90 "," $11,488,925,867.53 "," $11,433,186,603.06 "," $6,363,286,281.99 "," $17,796,472,885.10 "
Florida_PNAS_1B,Manatee,S1,Baseline,RP010,144324," $47,761,541,301.18 "," $23,880,770,641.38 ",23911," $8,182,765,732.57 "," $4,091,382,866.18 "," $4,657,848,779.10 "," $2,710,108,154.94 "," $7,367,956,934.00 "
Florida_PNAS_5,Miami-Dade,S1,Baseline,RP010,463365," $176,836,256,749.05 "," $88,418,128,367.06 ",24040," $24,944,441,706.92 "," $12,472,220,851.47 "," $7,301,245,879.95 "," $4,715,314,868.16 "," $12,016,560,748.10 "
Florida_PNAS_1B,Pinellas,S1,Baseline,RP010,304706," $83,404,057,754.64 "," $41,702,028,895.88 ",61261," $23,800,505,408.93 "," $11,900,252,706.58 "," $13,422,668,942.64 "," $7,812,259,234.77 "," $21,234,928,177.40 "
Florida_PNAS_2C,Charlotte,S1,Baseline,RP025,93987," $25,493,094,867.20 "," $12,746,547,435.41 ",45418," $12,424,258,671.14 "," $6,212,129,335.51 "," $8,107,822,495.18 "," $4,358,959,281.60 "," $12,466,781,776.80 "
Florida_PNAS_2C+3B,Collier,S1,Baseline,RP025,124567," $57,383,165,973.52 "," $28,691,582,975.51 ",39666," $19,503,634,580.28 "," $9,751,817,287.30 "," $10,227,207,599.79 "," $6,657,475,071.55 "," $16,884,682,671.30 "
Florida_PNAS_1B,Hillsborough,S1,Baseline,RP025,404640," $123,800,786,742.92 "," $61,900,393,354.42 ",36160," $13,264,864,801.67 "," $6,632,432,398.71 "," $6,723,457,417.66 "," $4,083,231,692.42 "," $10,806,689,110.10 "
Florida_PNAS_2C,Lee,S1,Baseline,RP025,305926," $85,366,232,085.53 "," $42,683,116,042.26 ",101679," $29,695,905,176.00 "," $14,847,952,586.94 "," $17,230,787,471.47 "," $9,569,050,327.07 "," $26,799,837,798.50 "
Florida_PNAS_1B,Manatee,S1,Baseline,RP025,144324," $47,761,541,301.18 "," $23,880,770,641.38 ",26626," $9,044,611,235.70 "," $4,522,305,617.70 "," $5,494,205,534.31 "," $3,194,537,509.62 "," $8,688,743,043.90 "
Florida_PNAS_5,Miami-Dade,S1,Baseline,RP025,463365," $176,836,256,749.05 "," $88,418,128,367.06 ",31183," $29,980,606,444.40 "," $14,990,303,219.38 "," $10,073,162,496.71 "," $6,496,461,484.42 "," $16,569,623,981.10 "
Florida_PNAS_1B,Pinellas,S1,Baseline,RP025,304706," $83,404,057,754.64 "," $41,702,028,895.88 ",67847," $25,627,646,849.17 "," $12,813,823,427.31 "," $15,877,969,319.34 "," $9,253,365,340.12 "," $25,131,334,659.50 "
Florida_PNAS_2C,Charlotte,S1,Baseline,RP050,93987," $25,493,094,867.20 "," $12,746,547,435.41 ",53303," $14,367,442,114.46 "," $7,183,721,057.50 "," $10,083,313,953.57 "," $5,390,115,778.88 "," $15,473,429,732.40 "
Florida_PNAS_2C+3B,Collier,S1,Baseline,RP050,124567," $57,383,165,973.52 "," $28,691,582,975.51 ",51981," $25,186,026,004.36 "," $12,593,012,998.95 "," $14,783,847,989.66 "," $9,245,732,467.88 "," $24,029,580,457.50 "
Florida_PNAS_1B,Hillsborough,S1,Baseline,RP050,404640," $123,800,786,742.92 "," $61,900,393,354.42 ",42932," $15,340,119,952.43 "," $7,670,059,973.54 "," $8,487,591,557.33 "," $5,123,691,455.83 "," $13,611,283,013.20 "
Florida_PNAS_2C,Lee,S1,Baseline,RP050,305926," $85,366,232,085.53 "," $42,683,116,042.26 ",127527," $36,659,098,435.67 "," $18,329,549,217.70 "," $24,466,648,125.92 "," $13,553,001,018.53 "," $38,019,649,144.40 "
Florida_PNAS_1B,Manatee,S1,Baseline,RP050,144324," $47,761,541,301.18 "," $23,880,770,641.38 ",29547," $9,975,857,644.59 "," $4,987,928,822.08 "," $6,386,144,993.10 "," $3,679,292,353.07 "," $10,065,437,346.20 "
Florida_PNAS_5,Miami-Dade,S1,Baseline,RP050,463365," $176,836,256,749.05 "," $88,418,128,367.06 ",51522," $39,172,513,416.31 "," $19,586,256,704.46 "," $13,670,563,619.55 "," $8,648,982,166.75 "," $22,319,545,786.30 "
Florida_PNAS_1B,Pinellas,S1,Baseline,RP050,304706," $83,404,057,754.64 "," $41,702,028,895.88 ",74444," $27,289,273,681.13 "," $13,644,636,843.74 "," $17,835,118,174.30 "," $10,341,317,485.88 "," $28,176,435,660.20 "
Florida_PNAS_2C,Charlotte,S1,Baseline,RP100,93987," $25,493,094,867.20 "," $12,746,547,435.41 ",63744," $17,174,888,503.54 "," $8,587,444,252.67 "," $12,418,444,728.72 "," $6,611,947,405.34 "," $19,030,392,134.10 "
Florida_PNAS_2C+3B,Collier,S1,Baseline,RP100,124567," $57,383,165,973.52 "," $28,691,582,975.51 ",65771," $32,608,820,647.22 "," $16,304,410,319.64 "," $20,266,021,357.41 "," $12,286,977,011.59 "," $32,552,998,369.00 "
Florida_PNAS_1B,Hillsborough,S1,Baseline,RP100,404640," $123,800,786,742.92 "," $61,900,393,354.42 ",51526," $17,805,975,783.49 "," $8,902,987,889.13 "," $10,827,310,149.54 "," $6,471,110,994.15 "," $17,298,421,143.70 "
Florida_PNAS_2C,Lee,S1,Baseline,RP100,305926," $85,366,232,085.53 "," $42,683,116,042.26 ",162446," $45,560,734,006.82 "," $22,780,367,005.51 "," $31,977,733,616.31 "," $17,544,136,270.48 "," $49,521,869,886.80 "
Florida_PNAS_1B,Manatee,S1,Baseline,RP100,144324," $47,761,541,301.18 "," $23,880,770,641.38 ",34583," $11,452,722,837.22 "," $5,726,361,418.55 "," $7,553,041,443.11 "," $4,326,746,938.91 "," $11,879,788,382.00 "
Florida_PNAS_5,Miami-Dade,S1,Baseline,RP100,463365," $176,836,256,749.05 "," $88,418,128,367.06 ",149791," $69,813,619,922.19 "," $34,906,809,960.93 "," $30,070,424,625.11 "," $18,275,024,960.98 "," $48,345,449,586.10 "
