region,county,scenario,scenario_label,return_period,n_buildings_flooded,mean_damage_dollar,median_damage_dollar,std_damage_dollar,p10_damage_dollar,p25_damage_dollar,p75_damage_dollar,p90_damage_dollar
USA_FL_W2_06,Charlotte,S1,Baseline,RP010,2206," $220,815.78 "," $130,598.04 "," $270,455.16 "," $45,988.72 "," $70,359.31 "," $253,339.99 "," $503,682.19 "
USA_FL_W2_06,Collier,S1,Baseline,RP010,8810," $332,294.94 "," $204,083.03 "," $586,809.31 "," $75,860.40 "," $122,969.10 "," $403,767.69 "," $577,281.22 "
USA_FL_W2_06,Hillsborough,S1,Baseline,RP010,82," $229,812.32 "," $150,744.76 "," $191,746.96 "," $74,562.68 "," $94,869.06 "," $334,686.65 "," $477,666.41 "
USA_FL_W2_06,Lee,S1,Baseline,RP010,10767," $199,015.46 "," $105,617.14 "," $328,512.58 "," $49,562.11 "," $71,014.39 "," $211,939.90 "," $384,808.09 "
USA_FL_W2_06,Manatee,S1,Baseline,RP010,11893," $229,657.28 "," $129,591.56 "," $559,073.12 "," $57,508.12 "," $83,756.87 "," $258,173.26 "," $452,047.22 "
USA_FL_08,Miami-Dade,S1,Baseline,RP010,5268," $606,430.54 "," $181,985.20 "," $1,608,588.43 "," $65,515.66 "," $99,519.60 "," $466,420.68 "," $1,069,761.23 "
USA_FL_W2_06,Pinellas,S1,Baseline,RP010,21831," $372,196.76 "," $225,848.80 "," $929,609.63 "," $77,615.73 "," $121,608.02 "," $365,714.64 "," $541,635.63 "
USA_FL_W2_06,Charlotte,S1,Baseline,RP025,4832," $193,705.31 "," $105,444.13 "," $261,299.32 "," $19,066.28 "," $51,729.41 "," $225,483.08 "," $445,428.29 "
USA_FL_W2_06,Collier,S1,Baseline,RP025,12282," $462,156.54 "," $360,210.11 "," $741,713.96 "," $96,072.72 "," $186,670.43 "," $510,597.09 "," $690,942.73 "
USA_FL_W2_06,Hillsborough,S1,Baseline,RP025,280," $168,749.30 "," $101,905.77 "," $167,050.75 "," $69,348.40 "," $79,536.32 "," $161,876.08 "," $370,211.30 "
