region,county,scenario,scenario_label,return_period,n_buildings_flooded,mean_damage_dollar,median_damage_dollar,std_damage_dollar,p10_damage_dollar,p25_damage_dollar,p75_damage_dollar,p90_damage_dollar
Florida_PNAS_2C,Charlotte,S1,Baseline,RP010,39631," $240,172.36 "," $157,924.25 "," $280,895.76 "," $54,708.07 "," $86,363.91 "," $307,786.27 "," $469,741.90 "
Florida_PNAS_2C+3B,Collier,S1,Baseline,RP010,27917," $406,518.10 "," $230,693.79 "," $877,139.85 "," $61,981.33 "," $107,078.81 "," $467,996.12 "," $693,200.66 "
Florida_PNAS_1B,Hillsborough,S1,Baseline,RP010,29837," $268,041.63 "," $169,365.82 "," $591,654.64 "," $57,040.74 "," $88,082.83 "," $326,715.89 "," $501,431.80 "
Florida_PNAS_2C,Lee,S1,Baseline,RP010,77597," $229,344.86 "," $150,015.94 "," $327,839.51 "," $54,339.57 "," $88,903.82 "," $294,344.39 "," $460,465.79 "
Florida_PNAS_1B,Manatee,S1,Baseline,RP010,23911," $308,140.89 "," $209,409.20 "," $745,662.07 "," $63,448.83 "," $102,602.83 "," $355,937.02 "," $574,243.23 "
Florida_PNAS_5,Miami-Dade,S1,Baseline,RP010,24040," $499,856.94 "," $228,529.40 "," $1,333,691.31 "," $65,564.48 "," $122,611.62 "," $444,173.95 "," $816,885.35 "
Florida_PNAS_1B,Pinellas,S1,Baseline,RP010,61261," $346,630.45 "," $218,055.63 "," $1,267,521.69 "," $58,442.95 "," $104,480.06 "," $354,524.00 "," $519,391.09 "
Florida_PNAS_2C,Charlotte,S1,Baseline,RP025,45418," $274,489.89 "," $199,897.87 "," $306,402.24 "," $61,316.60 "," $99,813.60 "," $346,095.38 "," $519,987.30 "
Florida_PNAS_2C+3B,Collier,S1,Baseline,RP025,39666," $425,671.42 "," $257,299.02 "," $965,791.43 "," $65,864.46 "," $115,103.51 "," $474,764.09 "," $711,109.68 "
Florida_PNAS_1B,Hillsborough,S1,Baseline,RP025,36160," $298,857.55 "," $199,268.20 "," $626,719.19 "," $63,775.67 "," $100,794.80 "," $369,704.12 "," $536,789.69 "
Florida_PNAS_2C,Lee,S1,Baseline,RP025,101679," $263,572.99 "," $193,126.00 "," $363,399.61 "," $66,247.81 "," $104,027.64 "," $340,625.67 "," $490,858.85 "
Florida_PNAS_1B,Manatee,S1,Baseline,RP025,26626," $326,325.51 "," $223,963.79 "," $772,486.55 "," $67,630.10 "," $108,814.49 "," $375,198.31 "," $601,290.57 "
Florida_PNAS_5,Miami-Dade,S1,Baseline,RP025,31183," $531,367.22 "," $268,981.88 "," $1,397,169.91 "," $57,046.03 "," $117,524.61 "," $491,577.60 "," $849,437.90 "
Florida_PNAS_1B,Pinellas,S1,Baseline,RP025,67847," $370,411.88 "," $241,203.31 "," $1,297,772.42 "," $63,591.07 "," $124,299.93 "," $369,899.73 "," $538,359.23 "
Florida_PNAS_2C,Charlotte,S1,Baseline,RP050,53303," $290,291.91 "," $219,952.67 "," $317,693.24 "," $69,138.32 "," $111,693.72 "," $354,542.59 "," $545,532.30 "
Florida_PNAS_2C+3B,Collier,S1,Baseline,RP050,51981," $462,276.23 "," $291,120.35 "," $1,078,874.87 "," $87,080.88 "," $141,605.52 "," $483,227.42 "," $738,480.34 "
Florida_PNAS_1B,Hillsborough,S1,Baseline,RP050,42932," $317,042.84 "," $216,472.09 "," $646,846.43 "," $70,010.40 "," $113,408.13 "," $382,659.26 "," $553,952.40 "
Florida_PNAS_2C,Lee,S1,Baseline,RP050,127527," $298,130.19 "," $240,071.98 "," $415,610.66 "," $73,308.31 "," $121,133.21 "," $372,833.09 "," $518,308.62 "
Florida_PNAS_1B,Manatee,S1,Baseline,RP050,29547," $340,658.52 "," $234,667.12 "," $798,365.43 "," $69,511.21 "," $116,404.04 "," $388,304.89 "," $625,153.55 "
Florida_PNAS_5,Miami-Dade,S1,Baseline,RP050,51522," $433,204.18 "," $184,274.23 "," $1,270,853.56 "," $43,261.53 "," $82,189.95 "," $425,677.02 "," $715,867.84 "
Florida_PNAS_1B,Pinellas,S1,Baseline,RP050,74444," $378,491.69 "," $249,636.74 "," $1,277,893.96 "," $67,058.70 "," $135,662.11 "," $374,782.76 "," $545,303.87 "
Florida_PNAS_2C,Charlotte,S1,Baseline,RP100,63744," $298,544.05 "," $228,638.49 "," $328,628.84 "," $73,618.34 "," $120,723.81 "," $354,669.62 "," $567,160.86 "
Florida_PNAS_2C+3B,Collier,S1,Baseline,RP100,65771," $494,944.56 "," $316,761.47 "," $1,215,077.15 "," $99,501.52 "," $174,329.31 "," $493,590.23 "," $768,489.81 "
Florida_PNAS_1B,Hillsborough,S1,Baseline,RP100,51526," $335,722.18 "," $240,385.04 "," $691,432.63 "," $75,285.18 "," $131,496.70 "," $394,548.60 "," $563,620.45 "
Florida_PNAS_2C,Lee,S1,Baseline,RP100,162446," $304,851.27 "," $250,922.11 "," $436,601.88 "," $80,342.28 "," $136,341.86 "," $373,372.36 "," $511,230.09 "
Florida_PNAS_1B,Manatee,S1,Baseline,RP100,34583," $343,515.26 "," $236,217.68 "," $803,964.34 "," $66,622.75 "," $112,853.20 "," $390,425.95 "," $632,615.47 "
Florida_PNAS_5,Miami-Dade,S1,Baseline,RP100,149791," $322,752.70 "," $171,865.33 "," $925,813.30 "," $56,957.24 "," $87,458.65 "," $327,684.86 "," $557,333.75 "
Florida_PNAS_1B,Pinellas,S1,Baseline,RP100,84823," $377,860.53 "," $247,557.75 "," $1,275,434.42 "," $69,536.79 "," $138,335.92 "," $372,851.39 "," $541,061.72 "
Florida_PNAS_2C,Charlotte,S2,No Mangroves,RP010,39896," $245,889.95 "," $164,109.51 "," $284,206.92 "," $56,324.70 "," $88,422.24 "," $315,489.21 "," $477,451.59 "
