region,county,scenario,scenario_label,return_period,n_buildings_fixed_sample,mean_damage,mean_damage_ratio,median_damage_ratio,median_damage,std_damage,mean_building_value,median_building_value,std_building_value
Florida_PNAS_2C,Charlotte,S1,Baseline,RP010,39631," $240,172.36 ",0.600028749801549,0.4732083939225662," $157,924.25 "," $280,895.76 "," $418,270.25 "," $321,991.38 "," $480,883.27 "
Florida_PNAS_2C+3B,Collier,S1,Baseline,RP010,27915," $406,547.22 ",0.5771648261416101,0.47170075481875245," $230,819.98 "," $877,164.52 "," $788,410.15 "," $466,225.54 "," $2,907,310.39 "
Florida_PNAS_1B,Hillsborough,S1,Baseline,RP010,29835," $268,059.60 ",0.525682106125486,0.39024693905884256," $169,365.82 "," $591,670.40 "," $558,262.61 "," $404,926.07 "," $1,331,628.06 "
Florida_PNAS_2C,Lee,S1,Baseline,RP010,77596," $229,347.81 ",0.5665124574750845,0.4008837833436725," $150,027.37 "," $327,840.58 "," $444,173.86 "," $360,282.31 "," $831,919.48 "
Florida_PNAS_1B,Manatee,S1,Baseline,RP010,23908," $308,179.56 ",0.6882824986755192,0.8805186874610187," $209,424.34 "," $745,700.87 "," $513,321.62 "," $332,907.28 "," $1,701,150.43 "
Florida_PNAS_5,Miami-Dade,S1,Baseline,RP010,24020," $500,273.14 ",0.44393968991599525,0.33484565580876663," $228,683.64 "," $1,334,168.42 "," $1,557,103.65 "," $562,141.90 "," $4,796,691.29 "
Florida_PNAS_1B,Pinellas,S1,Baseline,RP010,61257," $346,653.09 ",0.6368281340667824,0.5149096228144329," $218,067.66 "," $1,267,559.98 "," $582,781.81 "," $345,305.90 "," $2,001,444.74 "
Florida_PNAS_2C,Charlotte,S1,Baseline,RP025,39631," $304,242.28 ",0.7627909860950102,0.9777676871442795," $230,332.42 "," $308,311.19 "," $418,270.25 "," $321,991.38 "," $480,883.27 "
Florida_PNAS_2C+3B,Collier,S1,Baseline,RP025,27915," $533,903.24 ",0.7854325269937866,1.0," $362,598.07 "," $1,097,332.52 "," $788,410.15 "," $466,225.54 "," $2,907,310.39 "
Florida_PNAS_1B,Hillsborough,S1,Baseline,RP025,29835," $339,777.12 ",0.6699921682142864,0.7618088861191273," $235,894.61 "," $677,676.34 "," $558,262.61 "," $404,926.07 "," $1,331,628.06 "
Florida_PNAS_2C,Lee,S1,Baseline,RP025,77596," $305,526.27 ",0.7475928040131079,0.9430672424519061," $241,154.98 "," $391,018.34 "," $444,173.86 "," $360,282.31 "," $831,919.48 "
Florida_PNAS_1B,Manatee,S1,Baseline,RP025,23908," $354,078.79 ",0.7824225111429215,1.0," $242,954.74 "," $809,139.46 "," $513,321.62 "," $332,907.28 "," $1,701,150.43 "
Florida_PNAS_5,Miami-Dade,S1,Baseline,RP025,24020," $636,907.56 ",0.5979881272660438,0.45596296345383713," $348,086.61 "," $1,542,370.36 "," $1,557,103.65 "," $562,141.90 "," $4,796,691.29 "
Florida_PNAS_1B,Pinellas,S1,Baseline,RP025,61257," $401,432.49 ",0.7524351128186014,1.0," $263,645.57 "," $1,360,105.73 "," $582,781.81 "," $345,305.90 "," $2,001,444.74 "
Florida_PNAS_2C,Charlotte,S1,Baseline,RP050,39631," $347,788.15 ",0.8740280396627563,1.0," $274,659.89 "," $324,158.49 "," $418,270.25 "," $321,991.38 "," $480,883.27 "
