region,county,scenario,scenario_label,return_period,n_buildings_fixed_sample,mean_damage,mean_damage_ratio,median_damage_ratio,median_damage,std_damage,mean_building_value,median_building_value,std_building_value
USA_FL_W2_06,Charlotte,S1,Baseline,RP010,2203," $221,044.64 ",0.5373940349018037,0.38833942780038283," $130,742.04 "," $270,567.90 "," $431,688.47 "," $312,438.29 "," $425,586.46 "
USA_FL_W2_06,Collier,S1,Baseline,RP010,8797," $332,326.66 ",0.5075338159411528,0.3716158825786324," $204,083.42 "," $587,109.31 "," $692,456.37 "," $480,079.42 "," $1,513,198.26 "
USA_FL_W2_06,Hillsborough,S1,Baseline,RP010,82," $229,812.32 ",0.48539934078651636,0.38055769523514377," $150,744.76 "," $191,746.96 "," $486,391.90 "," $431,117.19 "," $278,937.98 "
USA_FL_W2_06,Lee,S1,Baseline,RP010,10764," $199,047.40 ",0.5280872471325749,0.366763959768442," $105,623.31 "," $328,552.56 "," $408,932.17 "," $299,723.52 "," $761,508.96 "
USA_FL_W2_06,Manatee,S1,Baseline,RP010,11872," $229,987.46 ",0.5654690061289119,0.39613999256329635," $129,855.63 "," $559,511.79 "," $486,960.86 "," $334,493.33 "," $1,643,059.35 "
USA_FL_08,Miami-Dade,S1,Baseline,RP010,5040," $616,694.10 ",0.3012662018272005,0.2645270799598926," $189,046.30 "," $1,611,608.09 "," $2,185,580.95 "," $671,892.56 "," $5,231,707.99 "
USA_FL_W2_06,Pinellas,S1,Baseline,RP010,21827," $372,234.55 ",0.6301231266069164,0.5047376904586683," $225,848.80 "," $929,689.84 "," $651,451.15 "," $379,903.00 "," $2,016,182.58 "
USA_FL_W2_06,Charlotte,S1,Baseline,RP025,2203," $312,994.20 ",0.7693733617821744,0.9699815368413925," $216,357.79 "," $319,050.58 "," $431,688.47 "," $312,438.29 "," $425,586.46 "
USA_FL_W2_06,Collier,S1,Baseline,RP025,8797," $501,352.93 ",0.7976314934442141,1.0," $408,149.31 "," $710,975.88 "," $692,456.37 "," $480,079.42 "," $1,513,198.26 "
USA_FL_W2_06,Hillsborough,S1,Baseline,RP025,82," $280,419.02 ",0.5891868316411091,0.4939458693253199," $191,348.61 "," $208,229.27 "," $486,391.90 "," $431,117.19 "," $278,937.98 "
USA_FL_W2_06,Lee,S1,Baseline,RP025,10764," $268,707.98 ",0.7241546982627968,0.978619077336192," $179,289.77 "," $366,406.38 "," $408,932.17 "," $299,723.52 "," $761,508.96 "
USA_FL_W2_06,Manatee,S1,Baseline,RP025,11872," $309,070.36 ",0.7378309149453319,0.9273767787629366," $208,359.46 "," $696,419.63 "," $486,960.86 "," $334,493.33 "," $1,643,059.35 "
